Obs,Date,Time,AnimalID,Action,Recipient,Response ,Actor2,Actor3,Recip2,Recip3,Context ,Erection,Intromission,Ejaculation ,Notes,Prox_10M_AF,Prox_10M_All,Thrust_Number,IOR
JC,04/03/2019,10:24:48,5K5,Mount,5S5,NA,,,,,CoAgg,NoErection,NoIntro,NoEjac,"One thrust only
5S5 shifts agh to 7J0 by. Phnd",0,6,No Value,0
JC,04/03/2019,10:30:39,96Z,Mount,SAMUN,NA,,,,,CoAgg,2Erection,NoIntro,NoEjac,Recip,2,5,No Value,0
JC,04/03/2019,10:31:27,5S5,Mount,96Z,NA,,,,,CoAgg,2Erection,Intro,NoEjac,96Z lipsmacks,2,7,No Value,0
JC,04/03/2019,10:32:36,5S5,Submission,4I8,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,10:34:48,5P8,Mount,FUN,NA,,,,,R,UN,UN,UN,,3,9,No Value,0
JC,04/03/2019,10:36:56,7G9,Submission,96Z,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,04/03/2019,10:38:53,2N1,Mount,FUN,NA,,,,,R,UN,UN,NoEjac,,0,1,No Value,0
JC,04/03/2019,10:39:25,5P8,Mount,FUN,NA,,,,,R,UN,UN,NoEjac,,1,3,No Value,0
SE,04/03/2019,10:39:32,8A7,Mount,9R6,NA,,,,,CoAgg,Erection,Intro,NoEjac,8A7 new guy,No Value,No Value,No Value,0
SE,04/03/2019,10:42:17,8A7,Mount,9R6,NA,,,,,Grm,Erection,Intro,NoEjac,,No Value,No Value,No Value,0
JC,04/03/2019,10:46:57,5L1,Mount,SAMUN,NA,,,,,R,Erection,NoIntro,NoEjac,"Limp r arm. 
Unwilling rec. 001-000
Ink up to waist
Scared and submissive. But act not agg",0,0,No Value,0
SE,04/03/2019,10:47:04,8A7,Mount,9R6,NA,,,,,CoaggObs,Erection,Intro,NoEjac,,No Value,No Value,No Value,0
JC,04/03/2019,10:53:30,7J0,Submission,5G2,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,04/03/2019,10:55:25,8A7,Mount,9R6,NA,,,,,Grm,UN,UN,NA,Walked off under bush on cliff,No Value,No Value,No Value,0
JC,04/03/2019,10:55:52,5P8,Mount,FUN,NA,,,,,Aff,Erection,UN,UN,,6,12,No Value,0
JC,04/03/2019,10:57:05,5P8,Mount,FUN,NA,,,,,Aff,Erection,UN,UN,,6,14,No Value,0
